pmid,title,pub_year_num,rq2_group,is_combo,auc_num,auc_logit,vi,var_approx,sens_num,spec_num,cohort_size_num,validation_type,screening_or_clinical,model_type,design_quality_num,input_modalities
40027282,Liquid biopsy in detecting early non-small cell lung cancer.,2023,meth+imaging,1,,,,True,,,,none,both,,2,cfDNA_methylation|LDCT|CT
38743638,Ultrasensitive Detection of Tumor Suppressor Gene Methylation by Piezoelectric Sensing Based on Enrichment of Transcription Activator-Like Effectors.,2024,meth_only,0,,,,True,,,,none,both,,2,cfDNA_methylation
31791387,Early detection of the major male cancer types in blood-based liquid biopsies using a DNA methylation panel.,2019,meth_only,0,,,,True,,,,none,both,,2,cfDNA_methylation
35804466,Evaluating methylation of human ribosomal DNA at each CpG site reveals its utility for cancer detection using cell-free DNA.,2022,meth_only,0,0.84,1.6582280766035322,0.07440476190476189,True,,,,none,clinical_diagnosis,,2,cfDNA_methylation
31546933,Subtyping Lung Cancer Using DNA Methylation in Liquid Biopsies.,2019,meth_only,0,,,,True,,,,none,clinical_diagnosis,,2,cfDNA_methylation
40468033,A DNA alteration and methylation co-detection method for clinical purpose.,2025,meth+ctDNA,1,,,,True,,,27.0,none,clinical_diagnosis,,3,cfDNA_methylation|ctDNA
30516882,DNA methylation analysis of selected genes for the detection of early-stage lung cancer using circulating cell-free DNA.,2019,meth_only,0,,,,True,,,,none,clinical_diagnosis,,2,cfDNA_methylation
33901468,"Alu cell-free DNA concentration, Alu index, and LINE-1 hypomethylation as a cancer predictor.",2021,meth+fragmentomics,1,,,,True,,,,none,clinical_diagnosis,,2,cfDNA_methylation|cfDNA_fragmentomics
38961476,Tissue of origin detection for cancer tumor using low-depth cfDNA samples through combination of tumor-specific methylation atlas and genome-wide methylation density in graph convolutional neural networks.,2024,meth_only,0,,,,True,,,,none,clinical_diagnosis,deep_learning,4,cfDNA_methylation
30010036,5-Hydroxymethylome in Circulating Cell-free DNA as A Potential Biomarker for Non-small-cell Lung Cancer.,2018,meth_only,0,,,,True,,,67.0,none,clinical_diagnosis,other_ML,4,cfDNA_methylation
30261643,Cell-Free DNA Methylation of Selected Genes Allows for Early Detection of the Major Cancers in Women.,2018,meth_only,0,,,,True,,,,none,both,,2,cfDNA_methylation
34830765,Cancer Detection and Classification by CpG Island Hypermethylation Signatures in Plasma Cell-Free DNA.,2021,meth_only,0,,,,True,,,,none,clinical_diagnosis,other_ML,2,cfDNA_methylation
